ID,Total,Q1,Q2,Q3,Q4,Q5,Cohort
1,0.692,9.67,5,1,8,4,UG
2,0.9,10,8,4,8,6,UG
3,0.892,9.67,8,5,8,5,UG
4,0.95,11,8,5,8,6,PG
5,0.725,10,8,2,5,4,PG
6,0.725,9,7,4,5,4,UG
7,0.825,10,8,4,5,6,PG
8,0.525,9,5,4,0,3,UG
9,0.85,8,8,5,8,5,UG
10,0.7,9,7,4,8,0,UG
11,0.863,9.5,7,4,8,6,PG
12,0.604,8.67,6,5,1,3.5,UG
13,0.867,8.67,7,5,8,6,UG
14,0.475,7,5,3,1,3,UG
15,0.729,7.67,8,5,5,3.5,UG
16,0.592,6.67,4,5,5,3,UG
17,0,0,0,0,0,0,PG
18,0.85,10,6,5,8,5,UG
19,0.579,9.17,6,4,1,3,UG
20,0.654,7.17,5,3,5,6,UG
21,0.625,10,7,4,0,4,UG
22,0.667,7.67,7,2,5,5,UG
23,0.85,10,5,5,8,6,UG
24,0.538,8.5,4,5,0,4,UG
25,0.775,10,6,2,8,5,UG
26,0.763,9.5,8,1,8,4,PG
27,0.925,10,8,5,8,6,UG
28,0.879,10.17,6,5,8,6,PG
29,0.754,9.67,8,4,5,3.5,PG
30,0.55,9,5,4,1,3,UG
31,0.8,10,8,2,8,4,UG
32,0.588,8.5,4,4,4,3,PG
33,0.767,8.67,6,2,8,6,PG
34,0.638,9,7,3,4,2.5,UG
35,0.85,11,7,3,8,5,UG
36,0.825,11,6,5,8,3,UG
37,0.9,10,7,5,8,6,UG
38,0.675,10,8,3,1,5,UG
39,0.95,12,7,5,8,6,UG
40,0.358,7.33,5,2,0,0,UG
41,0.342,6.67,4,3,0,0,UG
42,0.775,10,8,2,8,3,UG
43,0.792,8.67,7,5,8,3,UG
44,0.625,10.5,8,2,1,3.5,UG
45,0.725,9,6,4,5,5,PG
46,0.863,10,7,5,8,4.5,PG
47,0,0,0,0,0,0,UG
48,0.55,10,6,3,1,2,UG
49,0.729,9.17,3,3,8,6,UG
50,0.663,9.5,5,5,1,6,UG
51,0.875,11,8,5,5,6,UG
52,0.8,11,8,5,8,0,UG
53,0.85,11,8,1,8,6,UG
54,0.8,10,8,0,8,6,UG
55,0.663,7.5,4,5,8,2,UG
56,0.838,9.5,6,5,8,5,UG
57,0.9,11,7,5,8,5,PG
58,0.938,9.5,9,5,8,6,UG
59,0.567,8.67,7,3,0,4,UG
60,0.813,8,8,5,8,3.5,UG
61,0.875,10,8,3,8,6,UG
62,0.775,8,8,2,8,5,UG
63,0.917,11.67,8,3,8,6,UG
64,0.675,10,7,3,1,6,UG
65,0.675,10,6,5,1,5,UG
66,0.7,8,6,5,5,4,UG
67,0.875,12,7,5,5,6,UG
68,0.625,9,4,4,4,4,PG
69,0,0,0,0,0,0,UG
70,0.738,8.5,6,5,5,5,PG
71,0.75,10,6,4,8,2,PG
72,0.713,10,8,2,5,3.5,PG
73,0.463,6.5,7,3,0,2,UG
74,0.879,10.17,8,3,8,6,UG
75,0.625,9,8,4,0,4,UG
76,0.671,6.83,7,1,8,4,PG
77,0.8,8,8,2,8,6,UG
78,0.775,8,8,2,8,5,UG
79,0.725,10,8,5,1,5,UG
80,0.625,10,7,3,1,4,UG
81,0.925,12,8,3,8,6,UG
82,0.925,10,8,5,8,6,UG
83,0.817,8.67,8,5,5,6,UG
84,0.825,9,6,5,8,5,UG
85,0.725,11,8,5,1,4,UG
86,0.513,9.5,7,0,0,4,UG
87,0.517,9.67,7,1,0,3,UG
88,0.604,9.67,7,3,1,3.5,UG
89,0.613,10.5,4,5,1,4,PG
90,0.688,9.5,7,2,5,4,PG
91,0.675,10,7,2,5,3,PG
92,0.663,8.5,7,3,5,3,PG
93,0.725,10,5,5,5,4,UG
94,0.825,10,7,3,8,5,UG
95,0.838,9.5,7,4,8,5,PG
96,0.85,11,8,5,4,6,UG
97,0.725,10,8,2,5,4,PG
98,0.463,8.5,4,3,0,3,UG
99,0.65,8,8,5,1,4,UG
100,0.45,7,7,1,0,3,PG
101,0.738,8.5,6,5,5,5,PG
102,0.8,10,8,3,8,3,UG
103,0.692,7.67,8,5,1,6,UG
104,0.8,11,8,3,5,5,UG
105,0.429,8.17,6,1,0,2,UG
106,0.85,10,8,2,8,6,UG
107,0.775,9.5,6,3,8,4.5,UG
108,0.692,10.67,7,5,1,4,PG
109,0.938,9.5,9,5,8,6,UG
110,0.813,10.5,7,3,8,4,PG
111,0.8,10,8,5,5,4,UG
112,0.65,8,6,3,4,5,UG
113,0.675,11,7,5,1,3,UG
114,0.588,10,7,3,1,2.5,UG
115,0.7,10,6,3,5,4,UG
116,0.775,11,6,5,5,4,UG
117,0.775,11,6,5,5,4,UG
118,0.642,6.67,5,5,4,5,UG
119,0.575,9,6,3,1,4,UG
120,0.7,8,8,2,4,6,UG
121,0.7,9,8,5,1,5,UG
122,0.575,11,6,3,1,2,UG
123,0.763,9.5,7,5,5,4,PG
124,0.875,11,7,5,8,4,PG
125,0.45,7,8,3,0,0,UG
126,0.788,9.5,4,4,8,6,PG
127,0.875,10,6,5,8,6,PG
128,0.875,10,7,4,8,6,UG
129,0.675,11,7,5,1,3,PG
130,0.825,10,8,1,8,6,UG
131,0.363,6.5,5,3,0,0,UG
132,0.55,9,5,4,0,4,UG
133,0.5,9,4,4,0,3,UG
134,0.675,9,6,3,5,4,UG
135,0.688,8.5,6,1,8,4,UG
136,0.6,10.5,5,3,1,4.5,UG
137,0.642,8.67,7,5,1,4,PG
138,0.729,7.17,8,2,8,4,PG
139,0.729,9.17,7,4,5,4,UG
140,0.65,10,3,5,5,3,UG
141,0.75,9,7,5,5,4,PG
142,0.925,12,8,5,8,4,UG
143,0,0,0,0,0,0,UG
144,0,0,0,0,0,0,UG
145,0.621,10.83,7,3,0,4,UG
146,0.542,6.67,7,5,1,2,UG
147,0.888,9.5,7,5,8,6,UG
148,0.675,12,7,3,1,4,UG
149,0.975,12,8,5,8,6,UG
150,0.713,9.5,4,5,5,5,PG
151,0.925,11,9,5,8,4,PG
152,0.513,7.5,7,4,0,2,PG
153,0.663,8.5,6,5,5,2,PG
154,0.3,8,3,0,0,1,UG
155,0.542,7.67,7,5,0,2,UG
156,0.588,6.5,7,3,4,3,UG
157,0.713,8,8,4,5,3.5,UG
158,0.675,10,7,5,1,4,PG
159,0.892,10.67,6,5,8,6,PG
160,0.483,8.33,5,3,0,3,PG
161,0.613,10,7,4,0,3.5,UG
162,0,0,0,0,0,0,PG
163,0.638,10,7,4,0,4.5,UG
164,0.85,11,8,5,4,6,UG
165,0.413,8.5,4,3,1,0,UG
166,0.413,5.5,6,1,0,4,UG
167,0.567,8.67,8,3,0,3,UG
168,0.575,8,7,3,1,4,UG
169,0.75,9,7,5,5,4,PG
170,0.504,8.17,6,2,1,3,UG
171,0.725,10,8,2,5,4,PG
172,0.475,9,5,5,0,0,UG
173,0.8,11,7,2,8,4,UG
174,0.725,9,8,3,8,1,PG
175,0.625,11,7,3,1,3,UG
176,0.663,9.5,7,2,8,0,UG
177,0.367,10.67,2,2,0,0,UG
178,0.513,9.5,7,1,0,3,UG
179,0.558,9.33,8,2,0,3,PG
180,0.392,7.67,4,2,0,2,UG
181,0.667,7.67,7,5,4,3,UG
182,0.85,10,8,4,8,4,UG
183,0.85,10,8,4,8,4,UG
184,0.538,8.5,5,2,4,2,UG
185,0.45,10,7,1,0,0,UG
186,0,0,0,0,0,0,UG
187,0.388,8.5,6,1,0,0,UG
188,0.4,8,4,4,0,0,UG
189,0.758,9.33,8,5,5,3,UG
190,0.675,11,8,3,0,5,UG
191,0.65,11,5,3,1,6,UG
192,0.692,8.67,7,1,5,6,UG
193,0.538,10,7,2,0,2.5,PG
194,0.817,10.67,6,3,8,5,UG
195,0.713,9.5,5,3,8,3,UG
196,0.542,8.67,6,5,1,1,UG
197,0.525,8,6,3,4,0,PG
198,0.558,7.33,6,5,1,3,UG
199,0.417,5.67,5,2,1,3,UG
200,0.525,10,6,5,0,0,UG
